Hotel_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,San Vicente,AR,78.76,overcast clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
1,Astoria,US,61.86,broken clouds,46.1879,-123.8313,Best Western Astoria Bayfront Hotel
2,Bredasdorp,ZA,63.32,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
3,Puerto Ayacucho,VE,87.84,broken clouds,5.6639,-67.6236,Posada Turistica Manapiare
5,Kulhudhuffushi,MV,77.85,overcast clouds,6.6221,73.07,Haajy Guest House 1
6,Rikitea,PF,68.81,broken clouds,-23.1203,-134.9692,People ThankYou
8,Cervo,ES,64.49,scattered clouds,43.6702,-7.4101,Hotel Spa Galatea
9,Arawa,PG,76.48,broken clouds,-6.2132,155.5367,Coastline Guest House
10,Saint George,US,71.44,few clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
11,Kruisfontein,ZA,68.88,few clouds,-34.0033,24.7314,Oyster Bay House Rental
12,Turkistan,KZ,58.17,overcast clouds,43.0,68.0,
13,Farmington,US,58.21,scattered clouds,36.7281,-108.2187,Courtyard by Marriott Farmington
14,Cabedelo,BR,84.87,overcast clouds,-6.9811,-34.8339,Pousada Camboinha
15,Busselton,AU,49.98,clear sky,-33.65,115.3333,Observatory Guest House
17,Bykovo,RU,46.81,broken clouds,55.6361,38.0803,Around the world
18,Mao,ES,73.96,scattered clouds,39.8885,4.2658,ARTIEM Capri
20,Birao,CF,79.68,broken clouds,10.2849,22.7882,
22,Kapaa,US,72.1,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
23,Port Elizabeth,ZA,71.1,broken clouds,-33.918,25.5701,39 On Nile Guest House
24,Marang,MY,78.71,moderate rain,5.2056,103.2059,DBarakah Homestay
25,Labis,MY,76.15,overcast clouds,2.385,103.021,Labis Sunrise Farm
29,Makakilo City,US,73.98,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
31,Punta Arenas,CL,59.11,clear sky,-53.15,-70.9167,Hotel Hain
34,Constitucion,CL,58.3,broken clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
35,Palmer,US,57.78,overcast clouds,42.1584,-72.3287,Wedgewood Motel
36,Vaini,TO,75.36,few clouds,-21.2,-175.2,Keleti Beach Resort
