City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Veraval,IN,2022-10-12 21:08:59,20.9,70.3667,81.97,69,100,3.2
1,Baruun-Urt,MN,2022-10-12 21:08:59,46.6806,113.2792,35.15,55,0,4.81
2,Ostrovnoy,RU,2022-10-12 21:09:00,68.0531,39.5131,41.63,82,100,13.91
3,Ushuaia,AR,2022-10-12 21:06:37,-54.8,-68.3,38.86,81,75,24.16
4,Cape Town,ZA,2022-10-12 21:06:42,-33.9258,18.4232,64.11,85,98,10.0
5,Chokurdakh,RU,2022-10-12 21:09:01,70.6333,147.9167,1.29,90,71,5.28
6,Luderitz,NA,2022-10-12 21:05:53,-26.6481,15.1594,63.79,75,100,11.43
7,Thompson,CA,2022-10-12 21:07:04,55.7435,-97.8558,37.99,72,100,15.75
8,Zaysan,KZ,2022-10-12 21:07:04,47.4667,84.8667,41.23,49,0,4.18
9,Mataura,NZ,2022-10-12 21:05:43,-46.1927,168.8643,47.23,61,99,1.92
10,Punta Arenas,CL,2022-10-12 21:02:36,-53.15,-70.9167,39.11,69,16,27.09
11,Sao Jose Da Coroa Grande,BR,2022-10-12 21:09:02,-8.8978,-35.1478,76.1,81,88,10.45
12,Ponta Do Sol,PT,2022-10-12 21:09:02,32.6667,-17.1,72.72,73,41,5.01
13,Kalevala,RU,2022-10-12 21:09:03,65.2,31.1667,35.49,92,6,7.72
14,Gobabis,NA,2022-10-12 21:09:04,-22.45,18.9667,72.28,16,70,11.77
15,Saint George,US,2022-10-12 21:07:53,37.1041,-113.5841,85.42,16,0,1.99
16,Narsaq,GL,2022-10-12 21:09:04,60.9167,-46.05,30.42,72,6,6.29
17,Bluff,NZ,2022-10-12 21:05:52,-46.6,168.3333,47.79,64,99,3.67
18,Kintampo,GH,2022-10-12 21:09:05,8.0563,-1.7306,73.92,85,64,3.27
19,Coihaique,CL,2022-10-12 21:05:38,-45.5752,-72.0662,47.01,49,75,8.05
20,Port Alfred,ZA,2022-10-12 21:05:48,-33.5906,26.891,68.18,93,100,4.0
21,Nowe Miasto Lubawskie,PL,2022-10-12 21:09:06,53.4208,19.5952,46.04,69,51,5.32
22,Busselton,AU,2022-10-12 21:05:41,-33.65,115.3333,45.54,80,16,3.31
23,Barrow,US,2022-10-12 21:04:21,71.2906,-156.7887,30.22,80,40,17.27
24,Bhimavaram,IN,2022-10-12 21:09:07,16.5333,81.5333,76.23,92,55,2.93
25,San Cristobal,VE,2022-10-12 21:05:48,7.7669,-72.225,78.98,50,81,3.29
26,Wawa,NG,2022-10-12 21:09:08,9.9022,4.4192,77.13,71,64,3.02
27,Butaritari,KI,2022-10-12 21:09:08,3.0707,172.7902,82.02,77,69,22.75
28,Sanpaul,RO,2022-10-12 21:09:09,46.45,24.35,55.45,94,75,3.44
29,Hobyo,SO,2022-10-12 21:09:09,5.3505,48.5268,77.43,82,38,19.15
30,Kalia,BD,2022-10-12 21:09:10,23.0396,89.6328,75.83,94,11,4.97
31,Booue,GA,2022-10-12 21:09:10,-0.0921,11.9385,73.38,96,100,2.26
32,Yellowknife,CA,2022-10-12 21:07:10,62.456,-114.3525,33.78,64,62,18.43
33,Bikaner,IN,2022-10-12 21:09:11,28.0167,73.3,78.31,40,0,9.17
34,Ponta Delgada,PT,2022-10-12 21:09:12,37.7333,-25.6667,74.5,73,75,5.75
35,Norman Wells,CA,2022-10-12 21:05:42,65.282,-126.8329,32.54,67,100,5.14
36,Rikitea,PF,2022-10-12 21:07:08,-23.1203,-134.9692,68.14,63,0,16.17
37,Hobart,AU,2022-10-12 21:01:10,-42.8794,147.3294,60.66,82,100,23.02
38,Meulaboh,ID,2022-10-12 21:07:56,4.1363,96.1285,76.24,88,56,2.75
39,Nikolskoye,RU,2022-10-12 21:07:15,59.7035,30.7861,39.09,92,21,4.23
40,Teacapan,MX,2022-10-12 21:09:13,22.55,-105.75,85.68,46,100,7.29
41,Maarianhamina,AX,2022-10-12 21:09:14,60.0973,19.9348,35.46,93,0,1.14
42,Tiksi,RU,2022-10-12 21:09:14,71.6872,128.8694,19.9,87,100,8.68
43,Roald,NO,2022-10-12 21:09:15,62.5833,6.1333,54.52,66,75,10.36
44,Iqaluit,CA,2022-10-12 21:09:15,63.7506,-68.5145,20.16,83,48,5.86
45,Tuktoyaktuk,CA,2022-10-12 21:06:45,69.4541,-133.0374,26.62,79,36,8.81
46,Kapit,MY,2022-10-12 21:10:16,2.0167,112.9333,72.5,100,98,1.21
47,Fortuna,US,2022-10-12 21:10:17,40.5982,-124.1573,68.92,72,20,13.8
48,Santa Maria,BR,2022-10-12 21:10:17,-29.6842,-53.8069,67.03,67,6,3.13
49,Saldanha,ZA,2022-10-12 21:10:18,-33.0117,17.9442,59.65,89,53,16.55
50,Victoria,HK,2022-10-12 21:09:47,22.2855,114.1577,77.25,69,14,10.0
51,Talnakh,RU,2022-10-12 21:09:14,69.4865,88.3972,31.21,94,45,9.31
52,Salalah,OM,2022-10-12 21:10:19,17.0151,54.0924,78.89,73,75,2.3
53,Oriximina,BR,2022-10-12 21:10:20,-1.7656,-55.8661,91.17,44,79,1.41
54,Trat,TH,2022-10-12 21:10:20,12.5,102.5,78.87,92,100,5.35
55,Vardo,NO,2022-10-12 21:07:18,70.3705,31.1107,42.78,75,100,13.8
56,Paamiut,GL,2022-10-12 21:10:21,61.994,-49.6678,29.32,55,9,16.64
57,Albany,US,2022-10-12 21:03:23,42.6001,-73.9662,66.88,49,100,4.0
58,Benguela,AO,2022-10-12 21:10:22,-12.5763,13.4055,74.93,78,36,3.98
59,Katherine,AU,2022-10-12 21:10:22,-14.4667,132.2667,80.92,65,20,6.91
60,Ust-Maya,RU,2022-10-12 21:10:22,60.4167,134.5333,23.7,89,100,3.8
61,New Norfolk,AU,2022-10-12 21:05:44,-42.7826,147.0587,60.3,71,100,5.01
62,Caravelas,BR,2022-10-12 21:10:17,-17.7125,-39.2481,74.93,74,11,6.69
